,target
0,182998
1,269472
2,311725
3,263806
4,205595
5,243407
6,254822
7,232592
8,189695
9,392402
10,269420
11,264127
12,263443
13,194079
14,267544
15,262553
16,194936
17,270544
18,262158
19,266448
20,332483
21,324665
22,158431
23,347404
24,40424
25,40340
26,168290
27,219963
28,154883
29,162374
30,224514
31,220134
32,264054
33,222896
34,278348
35,278859
36,83844
37,401260
38,268516
39,404164
40,271725
41,187259
42,180110
43,257645
44,200452
45,189342
46,344352
47,323828
48,184449
49,202371
50,343635
51,187489
52,201010
53,272143
54,186600
55,271331
56,247349
57,198432
58,200815
59,177139
60,177139
61,203071
62,200315
63,201677
64,182784
65,180722
66,394427
67,239676
68,284016
69,181414
70,243890
71,250603
72,241856
73,181414
74,247580
75,239901
76,237421
77,220353
78,177186
79,284016
80,263632
81,198817
82,264286
83,217598
84,244066
85,219329
86,241368
87,222343
88,227241
89,245709
90,206580
91,219673
92,243794
93,219228
94,222343
95,212828
96,233701
97,233701
98,221203
99,222862
100,245984
101,212828
102,206580
103,245709
104,233701
105,245325
106,227241
107,244066
108,217598
109,219228
110,221203
111,222343
112,212828
113,229867
114,228785
115,229181
116,190874
117,228950
118,285721
119,285003
120,230069
121,224500
122,289253
123,278380
124,208769
125,205269
126,273555
127,280780
128,208438
129,362925
130,212981
131,262019
132,208803
133,124871
134,109422
135,137768
136,127248
137,106607
138,127248
139,109422
140,109448
141,103754
142,96301
143,98068
144,122382
145,122382
146,97149
147,129283
148,111750
149,103003
150,129599
151,105314
152,109218
153,95572
154,96855
155,98257
156,129272
157,110626
158,96855
159,110318
160,192843
161,195463
162,221714
163,219943
164,279563
165,37554
166,194627
167,190554
168,192726
169,195096
170,195263
171,198616
172,89505
173,212601
174,92222
175,91459
176,93263
177,27099
178,278809
179,370669
180,358243
181,277745
182,35560
183,303774
184,285718
185,309658
186,80870
187,268682
188,260143
189,267681
190,268682
191,160130
192,430366
193,430030
194,390435
195,477047
196,353407
197,434547
198,345851
199,345419
200,301299
201,304045
202,316376
203,306771
204,448201
205,310035
206,460340
207,330369
208,383253
209,273611
210,273611
211,276809
212,283661
213,271369
214,213422
215,352199
216,264922
217,255317
218,262989
219,353359
220,515518
221,340502
222,347357
223,260817
224,260817
225,87260
226,38995
227,39375
228,144316
229,292842
230,292842
231,276134
232,30970
233,255567
234,191175
235,198409
236,232170
237,184766
238,238203
239,188343
240,191668
241,148770
242,187259
243,258761
244,148041
245,238376
246,237416
247,238376
248,237416
249,303467
250,212363
251,42998
252,451677
253,235320
254,450789
255,805914
256,757473
257,520980
258,371777
259,355617
260,386564
261,370515
262,682993
263,380111
264,607605
265,346567
266,188374
267,159079
268,168776
269,42667
270,47836
271,46506
272,156857
273,156482
274,146054
275,150621
276,355158
277,353045
278,228053
279,122630
280,122501
281,112314
282,160302
283,114105
284,145773
285,130708
286,135794
287,137688
288,138243
289,131692
290,129975
291,138154
292,135790
293,134520
294,174956
295,189210
296,169544
297,138414
298,214664
299,234135
300,234914
301,178321
302,181936
303,178639
304,178217
305,235012
306,226836
307,178187
308,233016
309,334787
310,184335
311,232995
312,187483
313,183482
314,184470
315,187483
316,232507
317,42290
318,186190
319,196864
320,149946
321,184601
322,183885
323,184601
324,184997
325,121265
326,137903
327,121592
328,120837
329,123871
330,121265
331,147275
332,124413
333,125204
334,152368
335,191067
336,198073
337,192165
338,196988
339,191067
340,208377
341,208783
342,196984
343,62813
344,60997
345,62730
346,81202
347,78819
348,62695
349,59115
350,63731
351,89371
352,114025
353,114348
354,87063
355,87774
356,88855
357,82688
358,79273
359,82632
360,82632
361,87132
362,88374
363,88338
364,87897
365,119668
366,115997
367,89385
368,95076
369,96299
370,63692
371,98432
372,12821
373,11443
374,116399
375,95889
376,114964
377,95130
378,116610
379,115037
380,95104
381,117624
382,141888
383,141808
384,95130
385,115138
386,94574
387,68295
388,76106
389,114006
390,74746
391,112107
392,112611
393,113529
394,106489
395,113283
396,98353
397,113056
398,112328
399,136803
400,112271
401,96932
402,136803
403,112107
404,97639
405,151110
406,112632
407,97554
408,111966
409,70457
410,71024
411,71382
412,88874
413,89285
414,121655
415,128873
416,105189
417,130209
418,130209
419,124520
420,130009
421,98138
422,84666
423,98138
424,84918
425,98196
426,98141
427,94954
428,122517
429,126778
430,180700
431,127939
432,39809
433,39249
434,39058
435,39710
436,170128
437,199278
438,283671
439,440718
440,260797
441,253485
442,229966
443,328665
444,242897
445,241206
446,205175
447,204918
448,130198
449,248302
450,250685
451,247004
452,158753
453,508151
454,547702
455,482067
456,502329
457,302815
458,96013
459,145621
460,264387
461,264389
462,263471
463,118204
464,119636
465,118204
466,348451
467,274119
468,84804
469,93457
470,117453
471,85664
472,116915
473,117306
474,81417
475,84945
476,117306
477,83120
478,85067
479,94806
480,93566
481,117453
482,117453
483,117575
484,85921
485,85067
486,91417
487,82833
488,117306
489,89859
490,150497
491,172618
492,173842
493,173781
494,168362
495,173827
496,128905
497,115107
498,115197
499,115197
500,114455
501,113826
502,113826
503,99613
504,101061
505,99613
506,114177
507,115292
508,89812
509,114177
510,139999
511,431948
512,111099
513,82138
514,567054
515,465864
516,358256
517,358685
518,389073
519,363670
520,409226
521,612124
522,565219
523,559482
524,518002
525,518002
526,561378
527,513638
528,367763
529,371137
530,252421
531,249208
532,334232
533,288228
534,521876
535,456642
536,353055
537,473037
538,309897
539,482405
540,332352
541,370590
542,340514
543,562624
544,333335
545,316417
546,313048
547,478677
548,482747
549,352301
550,352428
551,520045
552,188642
553,244777
554,190292
555,190346
556,189884
557,102752
558,25229
559,274640
560,323155
561,320196
562,187661
563,323561
564,252488
565,30967
566,35615
567,142615
568,136474
569,24626
570,26985
571,26745
572,47554
573,81762
574,36497
575,154840
576,195353
577,347193
578,324152
579,314407
580,82793
581,80425
582,80490
583,69137
584,118521
585,71586
586,57122
587,149005
588,116502
589,239573
590,268790
591,273344
592,40679
593,39875
594,38267
595,30921
596,193328
597,192703
598,196515
599,263398
600,373882
601,266225
602,264652
603,242838
604,207443
605,203316
606,184826
607,246808
608,247874
609,330523
610,176817
611,237964
612,202974
613,181523
614,245106
615,245089
616,197516
617,89444
618,118009
619,88553
620,105040
621,217124
622,217219
623,216363
624,216117
625,213543
626,217066
627,130469
628,130469
629,127400
630,165003
631,128504
632,128951
633,162506
634,128618
635,165067
636,142052
637,100132
638,147073
639,412930
640,228617
641,290124
642,232530
643,174442
644,183903
645,134534
646,159992
647,94294
648,97317
649,125850
650,47670
651,146519
652,147171
653,195820
654,178438
655,79320
656,139359
657,137244
658,136645
659,110921
660,137325
661,137908
662,111415
663,138108
664,137325
665,119635
666,107148
667,156665
668,123012
669,164527
670,118443
671,110214
672,119671
673,157527
674,139023
675,152630
676,157527
677,119635
678,136520
679,118415
680,120151
681,119671
682,158650
683,123706
684,132852
685,110214
686,119013
687,161543
688,138311
689,120893
690,113050
691,121704
692,119013
693,163118
694,121704
695,110214
696,124067
697,136374
698,138395
699,136542
700,110214
701,121209
702,119013
703,138779
704,156637
705,145521
706,119635
707,121785
708,119547
709,124367
710,160351
711,123280
712,116119
713,157682
714,89863
715,93356
716,138888
717,128297
718,116672
719,114862
720,114445
721,140328
722,141309
723,141309
724,138610
725,116001
726,112924
727,142174
728,202862
729,145307
730,113715
731,144835
732,147503
733,145729
734,118075
735,137007
736,203249
737,115339
738,114973
739,145307
740,140172
741,116040
742,115645
743,141902
744,141687
745,137809
746,142262
747,140172
748,91763
749,83989
750,93466
751,59359
752,108607
753,142750
754,105797
755,12800
756,12438
757,13967
758,82455
759,13850
760,12826
761,12610
762,87881
763,71037
764,71208
765,71543
766,87537
767,56897
768,87161
769,87537
770,13114
771,14283
772,13099
773,49228
774,105710
775,73477
776,69520
777,82465
778,71658
779,79626
780,70557
781,88377
782,71198
783,71076
784,57976
785,57509
786,58426
787,53934
788,61942
789,42400
790,91585
791,11867
792,13442
793,12126
794,65958
795,74759
796,83671
797,83671
798,85228
799,11553
800,10920
801,85239
802,77572
803,119957
804,79696
805,80158
806,63590
807,66369
808,95869
809,87241
810,105208
811,65613
812,92470
813,79204
814,79204
815,79524
816,110833
817,111046
818,111092
819,110087
820,159047
821,100396
822,101518
823,99272
824,92497
825,80063
826,91691
827,91691
828,80063
829,91516
830,108479
831,79480
832,114740
833,115354
834,125723
835,141558
836,146629
837,68671
838,130029
839,130029
840,128026
841,107644
842,107644
843,124168
844,133137
845,124125
846,110250
847,134843
848,132653
849,133756
850,170307
851,75532
852,77070
853,88896
854,96434
855,109678
856,119696
857,96378
858,96588
859,120369
860,109678
861,96221
862,95490
863,95036
864,95490
865,119938
866,117824
867,103270
868,111648
869,71713
870,134548
871,105327
872,123936
873,139273
874,131381
875,130504
876,141474
877,141064
878,127168
879,132521
880,134548
881,134548
882,138012
883,128603
884,128557
885,105327
886,118703
887,112384
888,128581
889,105092
890,130108
891,128603
892,134548
893,130504
894,119345
895,113861
896,137845
897,125717
898,109429
899,92410
900,89832
901,71329
902,73909
903,73346
904,49941
905,63793
906,63793
907,50183
908,62596
909,73029
910,61008
911,50192
912,63285
913,50011
914,94138
915,87072
916,80483
917,57975
918,57975
919,45575
920,57433
921,54037
922,50967
923,64705
924,66007
925,53903
926,54751
927,44907
928,49997
929,64705
930,55883
931,64473
932,47219
933,56019
934,44523
935,70265
936,70171
937,69206
938,67613
939,57901
940,57855
941,49436
942,75597
943,68314
944,90546
945,89721
946,74273
947,81558
948,113688
949,94883
950,115950
951,107910
952,97546
953,95488
954,93876
955,96996
956,91841
957,89585
958,91085
959,76349
960,72968
961,83784
962,74757
963,92077
964,70851
965,86675
966,84883
967,82508
968,78471
969,118061
970,93873
971,131731
972,117986
973,117473
974,94400
975,94785
976,93946
977,79455
978,82008
979,141488
980,140949
981,124819
982,117255
983,120898
984,146395
985,118257
986,117944
987,147294
988,114186
989,150904
990,151306
991,114821
992,113878
993,146395
994,137869
995,147553
996,116711
997,115718
998,203029
999,147174
1000,147947
1001,151177
1002,150360
1003,137869
1004,117255
1005,114821
1006,118304
1007,116337
1008,113803
1009,128309
1010,129925
1011,133490
1012,112468
1013,104332
1014,134708
1015,105120
1016,142269
1017,127773
1018,107449
1019,57140
1020,59185
1021,22097
1022,66632
1023,57730
1024,41231
1025,53495
1026,53436
1027,37768
1028,65755
1029,58800
1030,59221
1031,67898
1032,84530
1033,85226
1034,85693
1035,113280
1036,77832
1037,80025
1038,85395
1039,106397
1040,84481
1041,75147
1042,76221
1043,76843
1044,54005
1045,63788
1046,36629
1047,102069
1048,101930
1049,93720
1050,101746
1051,132259
1052,52652
1053,69103
1054,76157
1055,81974
1056,78618
1057,80083
1058,75480
1059,51691
1060,69073
1061,78838
1062,74460
1063,71173
1064,71041
1065,53222
1066,57159
1067,56543
1068,125013
1069,139932
1070,134529
1071,134529
1072,126334
1073,139545
1074,127837
1075,102835
1076,181677
1077,126863
1078,140302
1079,140276
1080,102860
1081,102835
1082,123861
1083,102982
1084,125526
1085,121003
1086,146505
1087,124917
1088,150662
1089,140409
1090,102871
1091,131533
1092,103608
1093,126009
1094,103608
1095,103924
1096,126140
1097,149943
1098,50821
1099,141274
1100,99145
1101,85780
1102,83532
1103,80641
1104,83210
1105,103073
1106,82164
1107,78695
1108,110215
1109,86083
1110,85170
1111,86142
1112,85511
1113,95092
1114,95974
1115,83828
1116,85170
1117,79286
1118,80812
1119,75590
1120,83213
1121,109472
1122,78678
1123,85594
1124,86142
1125,108077
1126,85428
1127,85561
1128,108077
1129,95169
1130,108077
1131,80812
1132,83213
1133,57935
1134,80769
1135,80505
1136,78908
1137,81103
1138,67061
1139,92450
1140,66190
1141,120512
1142,126532
1143,120655
1144,109811
1145,107286
1146,56137
1147,33478
1148,33404
1149,33978
1150,55334
1151,62695
1152,82439
1153,79038
1154,78367
1155,76852
1156,23166
1157,18292
1158,20907
1159,61416
1160,14484
1161,75859
1162,62662
1163,76015
1164,62578
1165,57817
1166,91447
1167,73559
1168,94178
1169,94236
1170,49693
1171,21851
1172,28909
1173,99509
1174,95759
1175,68654
1176,69793
1177,71588
1178,82198
1179,79112
1180,87006
1181,87231
1182,85838
1183,87946
1184,67803
1185,84899
1186,79548
1187,64977
1188,63958
1189,76417
1190,70233
1191,65311
1192,74792
1193,75741
1194,76417
1195,77810
1196,38162
1197,68364
1198,68297
1199,68335
1200,68253
1201,67347
1202,99529
1203,79323
1204,67108
1205,59092
1206,66752
1207,57939
1208,58654
1209,67157
1210,67666
1211,66798
1212,86025
1213,64541
1214,84946
1215,67884
1216,83616
1217,66651
1218,66347
1219,55862
1220,67421
1221,65781
1222,65759
1223,56260
1224,55972
1225,56284
1226,64867
1227,64705
1228,77029
1229,56053
1230,67000
1231,56053
1232,77273
1233,63435
1234,55733
1235,66436
1236,67131
1237,67586
1238,66706
1239,53807
1240,55937
1241,64426
1242,66828
1243,56808
1244,66828
1245,66928
1246,65158
1247,56808
1248,66706
1249,65849
1250,51708
1251,56911
1252,55392
1253,77329
1254,56020
1255,66059
1256,56260
1257,66105
1258,56053
1259,77329
1260,55719
1261,65356
1262,65599
1263,56284
1264,66381
1265,77438
1266,56284
1267,65018
1268,65842
1269,65305
1270,12168
1271,32306
1272,46714
1273,68350
1274,9807
1275,10557
1276,10557
1277,10557
1278,10557
1279,9807
1280,9807
1281,9807
1282,10557
1283,10007
1284,10007
1285,10007
1286,9978
1287,9978
1288,10161
1289,10161
1290,10376
1291,10376
1292,10370
1293,10461
1294,10370
1295,10370
1296,10370
1297,10376
1298,10376
1299,10376
1300,10461
1301,10461
1302,10128
1303,10128
1304,10624
1305,10624
1306,10521
1307,10221
1308,10221
1309,10221
1310,10757
1311,9102
1312,9102
1313,9102
1314,9068
1315,10734
1316,10734
1317,10132
1318,10132
1319,10132
1320,10234
1321,10132
1322,10132
1323,9491
1324,9491
1325,9491
1326,9491
1327,9790
1328,10089
1329,10089
1330,10254
1331,10345
1332,8922
1333,9345
1334,48189
1335,47894
1336,56434
1337,42620
1338,51196
1339,42809
1340,51423
1341,42809
1342,51837
1343,42582
1344,42582
1345,64332
1346,59655
1347,46414
1348,64481
1349,56448
1350,52216
1351,50884
1352,51597
1353,50884
1354,66331
1355,52119
1356,65836
1357,42333
1358,53719
1359,53476
1360,10089
1361,50082
1362,69361
1363,58091
1364,62631
1365,72783
1366,61560
1367,55986
1368,62635
1369,46962
1370,43151
1371,10498
1372,12942
1373,14797
1374,16367
1375,48430
1376,37667
1377,24075
1378,51241
1379,30274
1380,24198
1381,23684
1382,24137
1383,36872
1384,21383
1385,16547
1386,61400
1387,62366
1388,69431
1389,51600
1390,50472
1391,61929
1392,48324
1393,48633
1394,52495
1395,48386
1396,47972
1397,54816
1398,54068
1399,56362
1400,56227
1401,50351
1402,50320
1403,56065
1404,48255
1405,54068
1406,56065
1407,56237
1408,56205
1409,56362
1410,65670
1411,65670
1412,56227
1413,66884
1414,56227
1415,68208
1416,56205
1417,56185
1418,113878
1419,125081
1420,138441
1421,61835
1422,98578
1423,77355
1424,56315
1425,58723
1426,70820
1427,40868
1428,89054
1429,58669
1430,70905
1431,70873
1432,53469
1433,60310
1434,71416
1435,65343
1436,64732
1437,68252
1438,58050
1439,57752
1440,47409
1441,73270
1442,67508
1443,91951
1444,91810
1445,91854
1446,86037
1447,51948
1448,51353
1449,46856
1450,51610
1451,52080
1452,52333
1453,49900
1454,92799
1455,112924
1456,121453
1457,120745
1458,118556
1459,89716
1460,141622
1461,121501
1462,92597
1463,118762
1464,81874
1465,65015
1466,63501
1467,60910
1468,65015
1469,81386
1470,60242
1471,72175
1472,56882
1473,60319
1474,59321
1475,59094
1476,59380
1477,52007
1478,69996
1479,50979
1480,70263
1481,66212
1482,49709
1483,67174
1484,68126
1485,66212
1486,68580
1487,67174
1488,65865
1489,67624
1490,67426
1491,68265
1492,66754
1493,67546
1494,66459
1495,49513
1496,50186
1497,49681
1498,80059
1499,79411
1500,63371
1501,63429
1502,61250
1503,75046
1504,61250
1505,66033
1506,66470
1507,102873
1508,129263
1509,129133
1510,129619
1511,98415
1512,102242
1513,102388
1514,117185
1515,102873
1516,129442
1517,102012
1518,129596
1519,98415
1520,99902
1521,123194
1522,121670
1523,99791
1524,122864
1525,99486
1526,72294
1527,61760
1528,67216
1529,77612
1530,55171
1531,51832
1532,51795
1533,49790
1534,51429
1535,55157
1536,42854
1537,85872
1538,84471
1539,99989
1540,63161
1541,98590
1542,86313
1543,60554
1544,56533
1545,81069
1546,94513
1547,121429
