feature,importance
계약년월,1045654697.4344027
전용면적,975664625.8056918
급지,611388409.3738642
건축년도,169581862.21406358
좌표Y,113663102.1594609
좌표X,63005797.25965901
구,23465324.214252956
대장아파트_거리,21648437.10291981
층,18911765.23562154
k_연면적,15709947.934104398
k_전체동수,12222373.969375499
동,12097007.600386389
주차대수,11609451.809255734
k_주거전용면적,10781782.421952456
distance_score,8790409.8806791
도로명,7312892.461833723
아파트명,6965255.533022061
이자율,5912753.023790166
k_전체세대수,5691433.6727553755
k_전용면적별세대현황_60__85_이하_,3954116.5169826075
k_85__135_이하,3815404.473903045
k_전용면적별세대현황_60_이하_,3019038.444043666
건축면적,1852536.0807990655
is_top20,1393459.915999785
계약연도,121319.87005399168
